,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
1216,1216,55.0,0.0,0.25,4,0.0,4.0,0.0,0.0,0.0,0.0,276.0,0.951724112033844,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.951724112033844,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,55.0,19.0
1217,1217,74.0,0.0,4.0,4,0.0,0.25,0.0,0.0,0.0,0.0,276.0,0.951724112033844,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.951724112033844,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,55.0,19.0
1218,1218,65.0,0.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,276.25,0.9525862336158752,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.9525862336158752,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
1219,1219,59.0,0.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,276.5,0.9534482955932617,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.9534482955932617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
1220,1220,65.0,0.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,276.75,0.9543103575706482,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.9543103575706482,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
1221,1221,55.0,1.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,277.0,0.9551724195480347,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.9551724195480347,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
1222,1222,65.0,1.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,277.25,0.9560344815254211,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.9560344815254211,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
1223,1223,59.0,1.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,277.5,0.9568965435028076,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.9568965435028076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
1224,1224,65.0,1.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,277.75,0.9577586054801941,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.9577586054801941,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
1225,1225,55.0,2.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,278.0,0.9586206674575806,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.9586206674575806,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
